ari_before,ari_after,nmi_before,nmi_after,mu_lfr,seed,budget,evaluator
0.13704100969601934,0.16736315394535506,0.25148378103440916,0.31280212943317554,0.4,2,0.03,CPM_0.05
0.08180318673397671,0.09055476008621556,0.3103668432758183,0.309503379404439,0.4,2,0.03,CPM_0.1
0.2041234176214486,0.2013835272310804,0.30339392242206104,0.27891276617560773,0.4,2,0.05,Q
0.13704100969601934,0.12506487864263494,0.25148378103440916,0.252268046799387,0.4,2,0.05,CPM_0.05
0.08180318673397671,0.07718904548936206,0.3103668432758183,0.3065408098016438,0.4,2,0.05,CPM_0.1
0.24298790274340132,0.22006185006415718,0.3621839867507553,0.3151753221085203,0.4,3,0.01,Q
0.24568318323115107,0.24559101501704478,0.37169278930328886,0.3862311322498375,0.4,3,0.01,CPM_0.05
0.16476874421011672,0.15634223057441546,0.39259119691697647,0.3994020207893911,0.4,3,0.01,CPM_0.1
0.24298790274340132,0.24283462192909555,0.3621839867507553,0.34609018238539735,0.4,3,0.03,Q
0.24568318323115107,0.21642374193861347,0.37169278930328886,0.341084816804135,0.4,3,0.03,CPM_0.05
0.16476874421011672,0.14775380730933546,0.39259119691697647,0.3797007658202067,0.4,3,0.03,CPM_0.1
0.24298790274340132,0.258105114468118,0.3621839867507553,0.3496568100220385,0.4,3,0.05,Q
0.24568318323115107,0.21737264632956915,0.37169278930328886,0.3490764911749795,0.4,3,0.05,CPM_0.05
0.16476874421011672,0.1618904773111146,0.39259119691697647,0.40629845702371453,0.4,3,0.05,CPM_0.1
0.23996567924879975,0.3461075782716623,0.33304273000210227,0.40935599501991876,0.4,4,0.01,Q
0.2808054429248849,0.2542507255609825,0.3775401052912267,0.37304738121886033,0.4,4,0.01,CPM_0.05
0.15583161052028777,0.1686419373595394,0.3673999136601552,0.3824006125123586,0.4,4,0.01,CPM_0.1
0.23996567924879975,0.3535071675716001,0.33304273000210227,0.43143353159701653,0.4,4,0.03,Q
0.2808054429248849,0.275647748544931,0.3775401052912267,0.39888383855099724,0.4,4,0.03,CPM_0.05
0.15583161052028777,0.1468972860128271,0.3673999136601552,0.3482005774916554,0.4,4,0.03,CPM_0.1
0.23996567924879975,0.2772043206812603,0.33304273000210227,0.3872107238716368,0.4,4,0.05,Q
0.2808054429248849,0.2436974106449756,0.3775401052912267,0.35917472655144844,0.4,4,0.05,CPM_0.05
0.15583161052028777,0.1352035072954767,0.3673999136601552,0.34827538045834816,0.4,4,0.05,CPM_0.1
0.06772237637996237,0.06352651821475769,0.13861291875034784,0.14080007819591814,0.5,0,0.01,Q
0.09831901532326341,0.11638362544224587,0.216636781562199,0.21119838025370855,0.5,0,0.01,CPM_0.05
0.053416782885581895,0.03881757680375404,0.2710833405420789,0.23998675546679193,0.5,0,0.01,CPM_0.1
0.06772237637996237,0.06892411669277922,0.13861291875034784,0.14390486030162794,0.5,0,0.03,Q
0.09831901532326341,0.11133997801192842,0.216636781562199,0.22010346794630833,0.5,0,0.03,CPM_0.05
0.053416782885581895,0.05213515045638412,0.2710833405420789,0.2750374108591539,0.5,0,0.03,CPM_0.1
0.06772237637996237,0.07552174708214997,0.13861291875034784,0.15319685052269877,0.5,0,0.05,Q
0.09831901532326341,0.08911144596434764,0.216636781562199,0.19267490505367504,0.5,0,0.05,CPM_0.05
0.053416782885581895,0.05060138136847162,0.2710833405420789,0.2937146308939286,0.5,0,0.05,CPM_0.1
0.0590055807735709,0.08772078550122966,0.1178790379973021,0.1675806437527039,0.5,1,0.01,Q
0.05549860679436976,0.06331974073957064,0.14961192436793347,0.16788295392404612,0.5,1,0.01,CPM_0.05
0.042296312325966375,0.04393144024498365,0.24658677700740117,0.2545790251184919,0.5,1,0.01,CPM_0.1
0.0590055807735709,0.03661708366485002,0.1178790379973021,0.10882114251504284,0.5,1,0.03,Q
0.05549860679436976,0.03994798568793727,0.14961192436793347,0.11808527806888076,0.5,1,0.03,CPM_0.05
0.042296312325966375,0.03785003788052756,0.24658677700740117,0.24860238631541418,0.5,1,0.03,CPM_0.1
0.0590055807735709,0.07231969402136278,0.1178790379973021,0.11256621184618068,0.5,1,0.05,Q
0.05549860679436976,0.014497366771665002,0.14961192436793347,0.12986146404213283,0.5,1,0.05,CPM_0.05
0.042296312325966375,0.024983968346265782,0.24658677700740117,0.2246598400184383,0.5,1,0.05,CPM_0.1
0.036087521638357135,0.03507932338639788,0.08616365248500996,0.08344586264303704,0.5,2,0.01,Q
0.0512688515367888,0.021617898549654267,0.15821071121138666,0.1375983817543314,0.5,2,0.01,CPM_0.05
0.030262142106330447,0.027761644772673708,0.22378486805864248,0.19394548713757712,0.5,2,0.01,CPM_0.1
0.036087521638357135,0.06754824198132224,0.08616365248500996,0.12445075586693084,0.5,2,0.03,Q
0.0512688515367888,0.022610525150956868,0.15821071121138666,0.10826031546979267,0.5,2,0.03,CPM_0.05
0.030262142106330447,0.027676784097117157,0.22378486805864248,0.2016273130929799,0.5,2,0.03,CPM_0.1
0.036087521638357135,0.05928618575110305,0.08616365248500996,0.1347259927895192,0.5,2,0.05,Q
0.0512688515367888,0.03890328698360243,0.15821071121138666,0.12092121735352067,0.5,2,0.05,CPM_0.05
0.030262142106330447,0.01714483247870895,0.22378486805864248,0.18804223003431497,0.5,2,0.05,CPM_0.1
0.026696068102760397,0.03920511929246063,0.11467376693901432,0.1136154973734177,0.5,3,0.01,Q
0.042958415692728194,0.031687787808463846,0.16212929059964878,0.1511508886484692,0.5,3,0.01,CPM_0.05
0.0166439265087939,0.029823833196582848,0.19443364995100368,0.23219254380775453,0.5,3,0.01,CPM_0.1
